id;country_id;city_id;street_address;postal_code
1;70172;43385;Franc Future Lilangeni;hacking Kansas index
2;41492;93278;bypassing;Zambian
3;58629;80470;Customer Cambridgeshire end-to-end;web-readiness copy
4;59832;17366;override Kids Tasty;Awesome
5;64063;77097;indexing invoice;the
6;66700;31357;Incredible Applications Pizza;interactive
7;77423;37247;override SMTP;Alaska
8;23123;69935;synthesizing;ubiquitous Avon Orchestrator
9;72092;23933;transmit;Rustic USB Quality-focused
10;54375;15170;withdrawal bus azure;calculating Texas invoice
