id;meta;logo;logo_content_type;color;name;legal_name;one_liner;description;founding_date;social_links;address_id;employee_range
1;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;orange;evolve benchmark;Loan payment;transparent Rue;../fake-data/blob/hipster.txt;2022-03-28;../fake-data/blob/hipster.txt;8544;63387
2;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;white;Frozen;override Account Handcrafted;matrix;../fake-data/blob/hipster.txt;2022-03-28;../fake-data/blob/hipster.txt;44138;78341
3;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;gold;Integrated;Steel Corporate enable;Automotive;../fake-data/blob/hipster.txt;2022-03-27;../fake-data/blob/hipster.txt;55287;55423
4;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;pink;Australian Wyoming Central;XML;SCSI;../fake-data/blob/hipster.txt;2022-03-28;../fake-data/blob/hipster.txt;16121;64777
5;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;turquoise;Handcrafted;Russian CSS;Computer Hat;../fake-data/blob/hipster.txt;2022-03-28;../fake-data/blob/hipster.txt;52166;30422
6;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;maroon;Account;viral;Concrete Synergized;../fake-data/blob/hipster.txt;2022-03-28;../fake-data/blob/hipster.txt;92060;49715
7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;gold;strategize plum;Re-contextualized;leverage magnetic SCSI;../fake-data/blob/hipster.txt;2022-03-28;../fake-data/blob/hipster.txt;61663;49486
8;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;tan;composite;Alley;maroon Bolivia;../fake-data/blob/hipster.txt;2022-03-28;../fake-data/blob/hipster.txt;9199;36773
9;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;green;matrix Azerbaijanian plug-and-play;Montserrat redundant monetize;payment Glen;../fake-data/blob/hipster.txt;2022-03-28;../fake-data/blob/hipster.txt;50070;50112
10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;cyan;Pants;dynamic indexing RAM;Ruble Gorgeous mobile;../fake-data/blob/hipster.txt;2022-03-28;../fake-data/blob/hipster.txt;44687;38103
